i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
494;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7449130132546273;4.681616881517966;4.6428983337221705;-0.7155689442406437;3.9527323672871004;-0.3563784956932068;-0.378885954618454;0.3034127354621887;0.520154014499254;-2.3867963132668355;-0.7155689442406437;0.4902080266772435;-0.32159946435193343;0.36996985545763944;-0.3885384421284001;-0.34188896907269006;0.38765862584114075;-0.34277281165122986;0.3122566342353821;0.5174673038911067;2.2948205682511307;3.9527323672871004;0.4876816565817835;-0.35360457481711227;-0.3358529482299684;0.3522981683594295;-0.3763581064742267;0.30385449528694153;0.39596208930015564;0.3001568615436554;0.4991127432444762;0.6545335947937149;2.220893666913578;0.5220840578863369;0.4155919025888733;-0.3159986297464349;0.34541368554582885;0.36436222632551213;
495;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7403762489102472;4.684352615744597;4.649285971808002;-0.713146468848136;3.9608462312670003;-0.36052587628364563;-0.371083527803421;0.3040260672569275;0.5173798334658232;-2.3706242100543866;-0.713146468848136;0.49107808512655193;-0.3212714854927378;0.3714058673484448;-0.3926530248329194;-0.3339429410685765;0.37950801849365234;-0.3485707640647888;0.3081723749637604;0.5152940070112295;2.313728405690211;3.9608462312670003;0.4888425124018025;-0.3571661338967138;-0.3337654187128755;0.343791405103981;-0.3819473059360764;0.31306034326553345;0.38726940751075745;0.3020244538784027;0.4979802933041294;0.6798290703186267;2.2405272068972555;0.5200597138342176;0.407720968708147;-0.32284008058018215;0.3538324401363481;0.3549853994527392;
496;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7369673618720294;4.684396216530016;4.6568127171020715;-0.7102526758190137;3.9625023907387744;-0.36410945653915405;-0.3644084632396698;0.3009856343269348;0.5151400046802188;-2.3566049216664493;-0.7102526758190137;0.4910919528040213;-0.3202044121915003;0.3723445185872391;-0.3961298977583041;-0.3271740113809459;0.37275612354278564;-0.35216063261032104;0.30646705627441406;0.5128003888445737;2.327791294863567;3.9625023907387744;0.49122212519874775;-0.35945973271485243;-0.3347952760140756;0.3368101502713004;-0.3856401602117286;0.3209708631038666;0.3799746632575989;0.3020319640636444;0.497396260218517;0.7014187047860522;2.259197068096745;0.5176722940733826;0.3997791670733274;-0.32887873392081046;0.3609487798111993;0.34708678986551783;
497;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7360464851065202;4.68170653088864;4.663807268832077;-0.6962450955505575;3.9660283365653517;-0.36974605917930603;-0.3579219877719879;0.29803502559661865;0.5146069350575038;-2.3399466544503027;-0.6962450955505575;0.49023653604064615;-0.31440890946083394;0.37613680878209843;-0.4011869501253894;-0.3203083068937781;0.36629757285118103;-0.35587260127067566;0.3055456876754761;0.5107046310851543;2.3417598764383367;3.9660283365653517;0.494303096278172;-0.3628999061668427;-0.33561765313267494;0.3300075822344968;-0.38943436658394315;0.3296130895614624;0.37401172518730164;0.30086031556129456;0.49852739081000785;0.7223818380908277;2.285815251992587;0.5154518902884856;0.3892078428899909;-0.33794660263848364;0.3685338738504615;0.34021706492345327;
498;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7364895358977436;4.674807055535569;4.660095119003876;-0.6810025730689211;3.9878142151048177;-0.37791094183921814;-0.34523195028305054;0.3021925687789917;0.5118610939093179;-2.3110349872466296;-0.6810025730689211;0.48804292905330743;-0.30725830023512796;0.3791810089331369;-0.40863677186273095;-0.3073138493897368;0.35834407806396484;-0.36381641030311584;0.30560949444770813;0.5106592393067593;2.36377206828894;3.9878142151048177;0.4953173829744466;-0.3708844149864466;-0.3283048287747469;0.3212556365653202;-0.39664689318059054;0.33820483088493347;0.3698892891407013;0.3010958135128021;0.501199155880095;0.7406818801132299;2.317473914461986;0.5166305045783356;0.3791807064034698;-0.35089752086931486;0.37612290152528044;0.3347995370537698;
499;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.74359950021683;4.663174296230938;4.667957611764739;-0.6413909213169964;4.001377584504264;-0.3881015181541443;-0.33910009264945984;0.2992953658103943;0.5153752625305408;-2.2889126500290247;-0.6413909213169964;0.48434710888130494;-0.28978996834967946;0.3880900618742645;-0.41708051498911225;-0.3002910864620334;0.3549362123012543;-0.36799901723861694;0.3007110059261322;0.5112758467709471;2.374261646201914;4.001377584504264;0.5015225650110657;-0.38000476401839;-0.3272938473888661;0.31693573589941526;-0.40072840197750353;0.3469841182231903;0.36577993631362915;0.3009532392024994;0.5041755052645135;0.7590339507870669;2.35070477139407;0.5141336481488082;0.36553767385112246;-0.3615461480285926;0.38353788560830254;0.3296253215107699;
500;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7471440719323632;4.645187817098605;4.674315666105933;-0.6312075095528927;4.013689146879421;-0.3949776291847229;-0.3249177038669586;0.2977929413318634;0.5114477899478705;-2.259180398075526;-0.6312075095528927;0.47864131864386505;-0.28245582890122956;0.3864145657617701;-0.42322321207484587;-0.2862762472907816;0.35066723823547363;-0.37222516536712646;0.3013251721858978;0.5113893680008209;2.3860074190230787;4.013689146879421;0.5092690615069323;-0.38993669238019113;-0.3275734313764591;0.3116735689974545;-0.40498250850477235;0.35495495796203613;0.36086806654930115;0.3013022541999817;0.5061805840180574;0.7771377779494256;2.378827193136107;0.5121132615593409;0.3538309915758755;-0.37022104487100493;0.39033805711962366;0.3238459620622007;
501;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7516843628850528;4.63543597863949;4.682576323844289;-0.6077705989347651;4.031049957437853;-0.4021601676940918;-0.3166472613811493;0.2957792282104492;0.5118576839512345;-2.237786023061246;-0.6077705989347651;0.47555327871431957;-0.27155933262487214;0.3903926866121769;-0.429316100956579;-0.2776079927199316;0.34708717465400696;-0.3771270215511322;0.3018774390220642;0.5125371178688712;2.3976499555782436;4.031049957437853;0.5149941377725242;-0.4000114242499246;-0.32436063634419715;0.3070860322290145;-0.4095630851855519;0.36290135979652405;0.3545478582382202;0.30354738235473633;0.5073475935918839;0.7970409722429468;2.4045587522230583;0.5094868533550554;0.3424233517806965;-0.3772573417402358;0.3971436949745937;0.31682212406419663;
502;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7564850709676736;4.623561990043097;4.703735688054494;-0.5847049703103159;4.048793657646311;-0.40949955582618713;-0.3067692518234253;0.2947880029678345;0.511661274757186;-2.213741731911484;-0.5847049703103159;0.47179950490249933;-0.26041133541572437;0.39342179554930934;-0.4355406893677596;-0.2674270722684944;0.3432198464870453;-0.38215601444244385;0.30377617478370667;0.5136565802139833;2.4098202581316124;4.048793657646311;0.5254656110968466;-0.41395275855719765;-0.32366220373758336;0.3018245706313255;-0.4145222348162022;0.37213748693466187;0.3400854468345642;0.29729703068733215;0.504127385023578;0.8303706390065204;2.4218009620313743;0.5027543597497812;0.33142977630068726;-0.37804265583223384;0.4052804645647306;0.30228118125134085;
503;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7580863606130723;4.621901736751385;4.717393601341459;-0.5659987506263446;4.0691958916383175;-0.4149225950241089;-0.30000367760658264;0.2941579222679138;0.512018521578092;-2.1968155077292493;-0.5659987506263446;0.4712752441992781;-0.2527256299297867;0.3977814874672798;-0.44019515801708753;-0.26022552885985467;0.3380241394042969;-0.38812941312789917;0.3066699504852295;0.5146889936214131;2.4250862290221353;4.0691958916383175;0.5303041161254638;-0.42434127935273;-0.3180517791443679;0.29559001146902386;-0.41993459104233594;0.3818807005882263;0.32923591136932373;0.2928757667541504;0.5042114187688967;0.8592945231840082;2.4511448324042098;0.4984069929723763;0.31742669104803894;-0.3842522953139762;0.4136233696930302;0.29081068183792613;
504;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7568152647398635;4.6297667672883;4.716161043573654;-0.5515084015506114;4.095781791189164;-0.4188598096370697;-0.29546013474464417;0.2949010729789734;0.5125819264786123;-2.1851315664058233;-0.5515084015506114;0.4737601326549988;-0.24823732048910888;0.40351814830273675;-0.44368354168598056;-0.2551083199143705;0.33128124475479126;-0.39574843645095825;0.30764299631118774;0.5161047258838676;2.4446352008824768;4.095781791189164;0.5274320369258488;-0.43030284866364654;-0.30499838033619275;0.2882509598884266;-0.4262482744845775;0.3871546685695648;0.3216114938259125;0.29608064889907837;0.503311722847923;0.8776109372765443;2.464964365170497;0.4987993206902273;0.3123320253191242;-0.38890804604827367;0.41838787110147724;0.2827206892210851;
505;0.3;0.05;0;0;5.0;0.5;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.7549473968295658;4.634693837643722;4.717882356882433;-0.5376551651829379;4.108336560314266;-0.4225858747959137;-0.2910338044166565;0.2969498038291931;0.5131076854718318;-2.1738963250094074;-0.5376551651829379;0.47531845194107614;-0.24342169926363993;0.4082566681430484;-0.4469280447222777;-0.25020813760235167;0.3243851065635681;-0.40048664808273315;0.3068687617778778;0.515378746799672;2.4607975126343145;4.108336560314266;0.5264188976550712;-0.4332641652875157;-0.2989966870821358;0.28105869003481654;-0.43038631679094674;0.39200669527053833;0.3139660656452179;0.29804810881614685;0.5022389267208048;0.8954945623371614;2.4774850551347463;0.4982514215411557;0.30710057273374214;-0.3923566200465974;0.42271675254391256;0.2747304036405582;
